feature_num_1,feature_num_2,feature_num_3,feature_num_4,feature_num_5,feature_int_1,feature_int_2,feature_int_3,feature_cat_1,feature_cat_2
37.454011884736246,27.682074447640655,0.30768398385189194,-2.5387570628312206,0.6023091008257365,56,0,40,Category_B,Type_Y
95.07143064099162,33.122208474032576,0.14044495726087317,2.726524520394557,11.285357889106692,79,0,20,Category_D,Type_Y
73.1993941811405,55.8322836539557,0.34917779758554535,4.401979912513754,2.568238823928474,42,1,40,Category_C,Type_Y
59.86584841970366,32.39190010540957,0.3035697025501657,2.493110505771007,0.5913208873407843,64,0,20,Category_B,Type_X
15.601864044243651,66.68951457804953,1.0153142131452066,0.291258824323954,3.363068289859031,49,1,10,Category_C,Type_Y
15.599452033620265,48.93319563754496,3.089955670126356,-3.997784047495343,2.0759332156961974,46,1,30,Category_B,Type_Y
5.8083612168199465,51.28392055916788,1.1575464868593908,2.8769135227244664,1.884565230718618,71,0,20,Category_D,Type_Y
86.61761457749351,45.82440548588159,2.6125047044130247,8.168577905227256,0.884932479187229,2,0,10,Category_D,Type_Y
60.11150117432088,61.59271757815585,1.5330893672077242,-9.861748176606653,1.522647889185347,67,0,10,Category_D,Type_X
70.80725777960456,61.747398316655165,1.301503395013299,-7.321419451406193,0.1220947494799047,4,0,10,Category_D,Type_X
2.0584494295802447,55.02581527868257,0.5345411950145325,-7.6045368300028855,3.732541631756495,62,1,40,Category_D,Type_Y
96.99098521619943,58.47183658861472,0.3927381942397054,8.46410605785708,0.032191192468556146,80,1,10,Category_D,Type_X
83.24426408004217,46.818654951193615,1.872605420489339,3.2549537792522933,0.6426705216845636,27,1,40,Category_D,Type_X
21.233911067827616,58.13304510363573,2.358026271962676,9.035762129403011,0.20276440241021143,86,1,50,Category_A,Type_Y
18.182496720710063,44.9318333678929,0.6012655873761583,1.6562654642485661,0.6060146360956098,67,1,30,Category_B,Type_X
18.34045098534338,50.03347433243603,0.009104417906941383,-0.7653420568149265,0.9285627926573735,17,1,10,Category_C,Type_Y
30.42422429595377,45.880343759505536,1.5727736319917405,5.8468582362872485,0.302161530946385,86,0,50,Category_A,Type_Y
52.475643163223786,43.14172191021206,0.33556902130421024,-6.781154650495509,0.06238207885832181,52,1,10,Category_B,Type_X
43.194501864211574,39.663323034173146,0.009937074608122433,-2.3732376736535716,1.2300634139854125,71,0,50,Category_C,Type_Y
29.122914019804192,57.015351557883285,1.6346970502221974,-0.6745151893155246,8.056182282045533,57,1,10,Category_B,Type_X
61.18528947223795,69.65908869220195,0.7285965270043914,-4.030832109757636,0.7037865485713288,30,1,30,Category_C,Type_Y
13.949386065204184,67.56652957504339,1.1558519000560978,-2.574287751830431,2.609949718550367,72,0,10,Category_C,Type_Y
29.214464853521815,31.15151996081847,2.4614615015273054,-8.437896261511636,4.501383696204177,83,1,40,Category_C,Type_Y
36.63618432936917,69.3380457711031,0.7790838555500228,-6.040328211008841,0.14956294700824413,71,1,10,Category_B,Type_Y
45.606998421703594,45.22762247573107,0.6995558172322845,-3.290065593381433,0.6330061435224645,65,0,20,Category_B,Type_Y
78.51759613930136,59.01099522718388,0.34342330933555343,5.917808664662687,0.27904405352429384,16,0,40,Category_C,Type_X
19.967378215835975,36.406770019291834,0.36412237079150933,-6.350052903142722,0.44651734270373183,95,1,50,Category_C,Type_Y
51.42344384136116,52.12969870811008,1.5922960081438897,-3.0671925203155066,5.484970421775356,27,1,10,Category_D,Type_X
59.24145688620425,54.7058477434536,0.5960735485263237,-8.701594236061297,1.2506700984360783,74,0,10,Category_C,Type_Y
4.645041271999773,27.73092812120521,0.1785600903170079,1.1420868965321205,2.2008058770614625,98,1,10,Category_D,Type_X
60.75448519014384,59.12400749516284,0.09929976803896948,2.225017762818556,0.9570505132911589,47,1,20,Category_D,Type_Y
17.052412368729154,70.18902511757473,0.6404031610205602,7.31032926924334,0.2980325275039775,14,0,30,Category_D,Type_X
6.505159298527952,47.38028081477558,0.625404467615405,6.38231997003928,1.9701618509518517,2,1,30,Category_C,Type_Y
94.88855372533332,70.4025219624202,1.059752058381151,-4.2924409063223905,3.4993434718993806,39,1,40,Category_C,Type_Y
96.56320330745594,47.15459759821389,0.6368944124341249,-7.260926216202805,1.3735164678355631,55,0,40,Category_C,Type_X
80.83973481164611,62.74376796569926,0.15487259516869445,-6.878336355791925,1.630887527053663,86,0,20,Category_C,Type_X
30.46137691733707,16.721450510733504,0.7088760020714382,9.379278860808892,0.29089253185338465,26,1,20,Category_D,Type_Y
9.767211400638388,86.28166668970195,2.37289387154303,3.464516280147148,2.0276219094174244,44,0,20,Category_C,Type_X
68.42330265121569,72.43187367864435,0.17368862198369317,-9.148584243935215,3.842079755292099,69,1,50,Category_D,Type_Y
44.01524937396013,45.73061743619482,1.1703918138416949,-7.264414899098108,1.4986811293915807,38,1,20,Category_D,Type_X
12.203823484477883,20.41866460034273,0.9010555414295368,-0.2839986979808842,0.16583147023527134,80,0,20,Category_D,Type_Y
49.51769101112702,54.32042552458234,1.380653209226037,-5.843423914137604,5.13268801135466,12,1,20,Category_B,Type_X
3.4388521115218396,28.341116793893647,0.16322538300976724,6.073179700000377,0.3887480258722287,17,1,20,Category_A,Type_X
90.9320402078782,56.67280306336232,2.840530778700473,1.4643423513872982,1.4737155942642837,25,1,30,Category_D,Type_Y
25.87799816000169,56.17348578746423,0.9701304967334924,2.2526441557859673,2.5934168893864746,64,0,10,Category_D,Type_Y
66.2522284353982,35.87895246496963,1.8777824179431584,-0.7434890390157634,2.9435558462743057,88,1,10,Category_A,Type_X
31.171107608941096,66.81450535421567,0.2831679613066179,-4.8787444914736895,0.16528949756429268,11,1,30,Category_B,Type_Y
52.00680211778108,62.0836205420926,1.3448180759826045,1.7880722640509301,1.1243636779945974,18,1,20,Category_C,Type_Y
54.67102793432797,64.63735005932845,1.518823761432903,4.339400923214637,1.0523456351554523,36,1,50,Category_B,Type_Y
18.485445552552704,50.13286555503343,0.5065601876650052,-2.5810384473966614,4.216596085406327,3,0,50,Category_C,Type_X
96.95846277645586,28.767138996294403,0.4844327548024566,0.09887261235670586,1.5820532716860003,83,1,40,Category_A,Type_X
77.51328233611146,64.66808408316706,1.0723490029890703,6.793679409440664,4.255097436444089,70,0,10,Category_B,Type_X
93.9498941564189,45.944429012963134,0.09806241366396141,-7.026364763550794,1.7158654688478308,87,1,40,Category_A,Type_Y
89.48273504276489,29.153297852109965,1.3303835148794656,0.9044883854820078,0.9285173571959798,71,0,20,Category_B,Type_X
59.78999788110851,70.2805904896149,0.043833566252943476,-3.0317467634154376,1.2139256191643564,9,0,40,Category_B,Type_X
92.18742350231169,81.49111280753763,0.21145006381110992,4.055895164344609,4.588700722933616,66,1,20,Category_A,Type_Y
8.84925020519195,49.38127806531195,1.091072059505043,-9.623795136752108,0.2733692494762844,47,1,40,Category_A,Type_X
19.59828624191452,82.38681731904938,0.10349965601156118,3.4094659960637745,2.474292533529362,50,1,30,Category_A,Type_Y
4.522728891053807,51.36972092917024,3.5699270216433643,-7.942045319676252,0.5338630192318583,64,0,20,Category_C,Type_X
32.53303307632643,44.293161437504736,2.0279594570247346,-8.70464494012684,0.4306416021908029,47,1,50,Category_A,Type_X
38.8677289689482,40.54312318721784,0.9843081838982858,4.492466019172259,2.7827130431687075,75,0,20,Category_D,Type_X
